PlayerName,pos,points,marg,value
Younghoe Koo,k,0,0,1
Jake Elliott,k,0,0,1
Chase McLaughlin,k,0,0,1
Chris Boswell,k,0,0,1
Zane Gonzalez,k,0,0,1
Ka'imi Fairbairn,k,0,0,1
Matt Gay,k,0,0,1
Mason Crosby,k,0,0,1
Brandon McManus,k,0,0,1
Michael Badgley,k,0,0,1
Greg Joseph,k,0,0,1
Jason Sanders,k,0,0,1
Josh Lambo,k,0,0,1
Tyler Bass,k,0,0,1
Randy Bullock,k,0,0,1
Joey Slye,k,0,0,1
Daniel Carlson,k,0,0,1
Graham Gano,k,0,0,1
Dustin Hopkins,k,0,0,1
Sam Ficken,k,0,0,1
Sam Sloman,k,0,0,1
Eddy Pineiro,k,0,0,1
Nick Folk,k,0,0,1
Justin Rohrwasser,k,0,0,1
Cairo Santos,k,0,0,1
Lirim Hajrullahu,k,0,0,1
Austin MacGinnis,k,0,0,1
Ryan Succop,k,0,0,1
